# Selected molded half-breadths from C&R 189522 (1934), feet-inches-eighths.
# Frame section: 0=FP, 40=AP, spacing=19.25 ft. Dashes mean below hull / no upper deck.
# Columns: section,3.25,6,11,17.875,24.375,30,39.5,48,main,58,forecastle
0,-,0-1-0,0-1-0,0-1-0,0-1-0,0-1-0,0-6-6,4-2-1,9-5-4,15-9-6,17-3-0
0.25,3-1-2,3-4-2,2-6-2,1-1-6,0-7-0,0-7-2,1-8-5,6-9-2,11-11-1,18-3-5,19-7-7
0.5,3-10-0,4-2-2,3-4-1,1-10-5,1-1-3,1-1-7,2-9-1,8-6-0,13-11-0,20-3-1,21-6-6
1,4-5-4,4-11-2,4-3-0,2-11-4,2-2-2,2-3-3,4-7-0,11-3-5,16-11-4,23-2-6,24-5-4
2,4-11-6,5-8-4,5-6-7,4-10-0,4-5-1,4-3-2,7-9-5,15-7-5,21-1-5,27-7-3,32-5-0
3,5-2-5,6-3-2,6-9-0,6-8-6,6-9-7,7-3-3,10-8-3,18-6-7,24-4-6,31-0-0,35-9-6
4,5-6-0,6-10-6,8-1-0,8-9-3,9-4-1,9-11-4,13-6-6,21-6-2,27-2-7,33-9-1,38-5-1
5,5-11-4,7-8-1,9-8-0,11-0-4,12-0-1,12-9-5,16-5-0,24-3-5,29-9-7,36-0-5,40-6-6
6,6-6-6,8-8-5,11-5-7,13-5-5,14-9-2,15-8-3,19-2-6,26-11-4,32-6-2,38-3-5,42-5-5
7,7-4-5,10-0-4,13-7-0,16-0-2,17-7-1,18-7-4,22-0-6,29-6-4,34-6-4,40-4-2,44-3-2
8,8-5-0,11-8-2,15-10-5,18-8-2,20-5-0,21-6-3,24-9-6,32-0-0,36-8-7,42-4-2,46-0-0
9,9-9-0,13-8-1,18-5-3,21-5-3,23-2-5,24-4-0,27-5-7,34-3-5,38-10-4,-,-
10,11-3-2,16-0-2,21-3-0,24-2-6,25-11-5,27-0-4,30-0-4,36-5-6,40-10-7,-,-
11,13-8-4,18-9-2,24-2-2,27-0-2,28-7-3,29-7-1,33-5-1,38-6-2,42-9-6,-,-
12,16-7-3,21-9-6,27-1-3,29-8-2,31-0-5,31-11-4,34-7-5,40-3-2,44-5-3,-,-
13,19-11-7,24-11-6,29-10-5,32-2-3,33-3-4,34-1-2,36-6-7,41-8-1,45-6-6,-,-
14,23-7-2,28-2-5,32-5-3,34-4-6,35-2-7,35-11-1,38-2-2,42-8-4,46-0-0,-,-
15,27-3-2,31-3-4,34-9-0,36-2-5,36-10-5,37-5-3,39-5-5,43-4-5,-,-,-
16,30-8-4,34-0-3,36-7-7,37-8-2,38-1-7,38-7-1,40-5-3,43-9-6,-,-,-
17,33-8-6,36-4-1,38-2-1,38-10-0,39-1-5,39-5-6,41-1-4,44-3-1,-,-,-
18,36-2-7,38-2-5,39-4-1,39-8-5,39-10-3,40-1-0,41-6-4,44-3-1,-,-,-
19,37-11-2,39-6-6,40-2-3,40-3-7,40-4-7,40-6-4,41-9-1,44-4-0,-,-,-
20,38-9-1,40-3-6,40-9-0,40-9-0,40-9-1,40-10-2,41-10-2,44-4-4,-,-,-
21,38-7-2,40-4-1,40-11-5,40-11-5,40-11-7,41-1-2,41-11-3,44-4-5,-,-,-
22,37-6-0,39-10-6,40-11-7,41-1-6,41-2-0,41-2-0,42-1-1,44-4-7,-,-,-
23,35-4-0,38-11-5,40-9-6,41-1-3,41-2-0,41-2-0,42-1-1,44-4-7,-,-,-
24,32-0-1,37-3-3,40-4-6,41-0-3,41-1-5,41-2-0,42-1-1,44-4-6,-,-,-
25,27-9-2,34-8-6,39-7-4,40-9-5,41-0-2,41-2-0,42-1-1,44-4-5,-,-,-
26,22-10-0,31-2-4,38-5-0,40-4-7,40-9-6,41-1-1,42-1-1,44-4-3,46-0-0,-,-
27,17-9-2,27-0-1,36-7-6,39-9-7,40-6-6,40-11-2,42-0-4,44-3-7,45-11-7,-,-
28,13-1-1,22-3-4,34-1-5,38-11-7,40-2-4,40-9-2,41-11-2,44-3-1,45-11-2,-,-
29,9-0-4,17-4-1,30-9-6,37-10-1,39-9-0,40-6-4,41-9-6,44-2-0,45-10-4,-,-
30,5-9-0,12-6-6,26-9-0,36-2-5,39-2-0,40-2-6,41-8-0,44-0-6,45-9-5,-,-
31,3-7-4,8-3-6,22-0-4,34-2-0,38-4-3,39-9-1,41-5-1,43-11-0,45-8-3,-,-
32,2-5-0,5-0-0,17-1-1,31-5-5,37-3-2,39-1-1,41-1-3,43-9-5,45-7-1,-,-
33,1-9-4,3-0-1,12-3-2,27-9-1,35-11-1,38-2-5,40-8-3,43-7-0,45-5-7,-,-
34,1-6-1,1-11-3,7-9-3,23-2-4,34-2-6,37-0-4,40-1-5,43-4-5,45-4-2,-,-
35,-,-,4-5-4,18-3-1,31-10-4,35-6-7,39-4-1,43-0-6,45-2-1,-,-
36,-,-,1-11-2,13-3-7,28-8-0,33-6-2,38-2-0,42-5-7,44-11-2,-,-
37,-,-,-,8-7-0,24-7-2,30-7-2,36-1-5,41-3-1,44-2-2,-,-
38,-,-,-,4-2-4,19-5-1,26-4-7,32-5-4,38-2-7,41-8-2,-,-
39,-,-,-,-,12-2-3,20-0-3,26-9-4,32-7-5,36-2-1,-,-
39.5,-,-,-,-,7-3-4,15-6-2,22-8-3,28-7-7,32-2-5,-,-
40,-,-,-,-,0-1-0,9-4-4,17-4-3,23-6-0,27-0-2,-,-
